Audition_for_a_Play.txt	Begin_Revision	0.879	## Section::::Steps.	52	Though if you have the time to spare ( usually around 3 - 4 hours a night ) for rehearsals , fittings , and performances you should be okay .	## Section::::Steps.	92	Although if you have the time to spare ( usually around 3 - 4 hours a night ) for rehearsals , fittings , and performances , you should be okay .	<replace><Though><1><Although><1>|||<insert><,><26>	True	1\. First you need to realize what you are getting yourself into by auditioning for a play or film. This is a huge time commitment you may be subjecting yourself to, so if you work full time, have other major projects, or have a family to take care of then this may not be the best time to pursue a role in a production.	Also, it takes loads of time outside of rehearsal to memorize plays, monologues, and stage directions so be prepared for some work outside of rehearsal. Also be aware of play types. We all knowthere are dramas and there are comedies, but within those there are classics such as Shakespeare, Chekov, and the Greek Playwrigths, and they at times have very complicated language structure and very, very long passages of text. But don't be frightened, it'll eventually get easier once the director gets involved and you've had time to go over the play. And lastly, make sure you are a team player. Other actors don't take kindly to people who come in and automatically think they are the star. Especially in things like community or university theatre, there is no room to think you are better than anyone else there. It is to be a fun learning experience, and since no one is being paid (much at least) to be there no one really owes you anything, even if you do get the lead role. So with all that, on to what you need to prepare for the audition.
Be_a_Happy_Christian_Teen.txt	Begin_Revision	0.686	## Steps	427	Even if they 're not , it 's important to have a good relationship with them .	## Steps	462	If they 're not , it 's as important as ever to have a good relationship with them .	<delete><Even><1>|||<replace><if><2><If><1>|||<insert><as><9>|||<insert><as><10>|||<insert><ever><10>	True	"Steps  1. Get in touch with God. Read your Bible, pray, and worship. Reading your Bible doesn't mean you have to read it all the way through; skip around. One thing the Bible should not be is boring. Take time to meditate on the Word, look for understanding and try to apply it to your life. * Praying does not mean you have to spend 30 minutes talking to God. You don't have to be wordy. You don't have to kneel, fold your hands, or even close your eyes. You can pray standing up or on your knees with your eyes and hands lifted to heaven. That prayer is only two words reaped several times, ""Fill me"". It's simple, but God understands that it means, ""Fill me with your spirit, your joy, your love for others."" * Worship doesn't have to be only at church. You can worship anywhere, even in the car on the way to school. Get a group of good Christian friends together if you can and take the time to worship. Remember, worship should occasionally be only between you and God, with no one else around. 2. Stay close with your family. Get along with your parents; take time with each of them. Having a healthy relationship with your parents is always a good thing. Also talk to your parents about God; they can help your faith if they are Christian too."	.
Build_a_Vertical_Garden.txt	Inside_Revision	0.603	## Section::::External Links.	46	If your horizontal garden space is limited , you can build a framework for a vertical garden .	## Section::::External Links.	97	When your horizontal garden space is limited , you can build a framework for a vertical garden .	<replace><If><1><When><1>	True	.	The square trellis described in this article supports climbing plants and the platforms support annuals. You can also add bird feeders and bird houses for extra interest. By following these instructions, you'll be making the most out of your garden space!
Avoid_Pornography.txt	Begin_Revision	0.863	Intro	29940	But it holds many temptations for many people .	Intro	30065	Yet it holds many temptations for many people .	<replace><But><1><Yet><1>	True	The Internet is a wonderful place.	Online pornography, for example, can become a time-consuming addiction for a lot of people. If it's becoming a problem for you, here are some tips to help you break the habit.
Become_Healthy.txt	Inside_Revision	0.456	## Steps	121	So eat what you like but do n't eat what your body hates .	## Steps	923	Also eat what you like but do n't eat what your body hates .	<replace><So><1><Also><1>	True	"Steps  1. Develop Eating habits. One must keep a careful tab on what they eat. Food gives us energy and taste is just a secondary factor. It was once said that""Eating would be really tiresome had it not been pleasurable and necessary."	.
Be_a_Dramatica.txt	Begin_Revision	0.893	## Steps	379	And visit different plays and maybe take up drama lessons .	## Steps	422	Also visit different plays and maybe take up drama lessons .	<replace><And><1><Also><1>	True	Steps  1. Make sure you know what a Dramatica is: there isn't much on it on the internet, 'coz it's a small unknown thing. A Dramatica is a girl (sorry guys) who is dramatic and creative. She is a confident person who is deeply interested in art, music and drama. 2. Start by appreciating the arts a little more. Look at art, develop an interest in at least 2 different types of art. Choose a favourite artist and painting to talk about with people who ask. 3. Visit art galleries, theatres and concerts, and become familiar with lots of different artists of different genres and have lots of favourites.	A Dramatica doesn't always act herself but has a large appreciation of theatre. And brush up on your knowledge of the Renaissance era, because that was the truly greatest period of history.
Build_a_Humanure_Compost_Bin.txt	Begin_Revision	0.918	## Steps	323	But stay at least 6 feet away from the tree , so there 's no migration of insects from the bin to the tree .	## Steps	365	However , stay at least 6 feet away from the tree , so there 's no migration of insects from the bin to the tree .	<insert><However><1>|||<replace><But><1><,><2>	True	Steps  1. Site the bin. The only thing you can't change about a structure once it's up is its location. Pick a place that is away from high-traffic areas, one that gets plenty of sun for decomposition, but also retains moisture - a nearby tree will provide sufficient shade.	Try and site the bin nearby your garden if possible, so there's less work moving the compost to your planting beds.
Be_a_Good_Tutor.txt	Begin_Revision	0.949	## Section::::Related wikiHows.	672	But , just knowing a lot about a subject area does n't necessarily mean you 'll be a good tutor .	Intro	744	However , just knowing a lot about a subject area does n't necessarily mean you 'll be a good tutor .	<replace><But><1><However><1>	True	Tutoring students is a great responsibility, but it can also be one of life's most rewarding experiences.	To help students reach their potential, you have to assess each one's needs and goals individually. Build a trusting, motivational relationship with students to help them achieve their goals. With your individualized attention, any student can improve their understanding of difficult material.
Adopt_a_Puppy.txt	Begin_Revision	0.68	## Section::::Related wikiHows.	2626	Then check its paws and legs .	Intro	2668	Also , check its paws and legs .	<insert><Also><1>|||<replace><Then><1><,><2>	True	Do you want a get a new dog? Consider saving a dog's life in the process. Adoption is a wonderful alternative to purchasing a dog from a pet store and is often much cheaper than getting a dog from a breeder. First, consider what breed of puppy would suit your lifestyle. For example, if you live in an apartment, a Golden Retriever would cause trouble, and a Chihuahua instead would be better. Then go to the local shelter to find your puppy. Or, if you'd rather, go to the pet shop. However, the dogs there have a chance of originating from illegal puppy mills. Never be fibbed off by the lies Shopkeepers tell you about why a puppy is in that state, or feel sorry it was the last one left and adopt it. Ask to play with the pup and observe it. Then check its eyes for any discharge. Its fur should be loose and free of dirt, but forgive some slobbery saliva.	The legs should be sturdy and strong.
Avoid_Puckers_when_Sewing.txt	Begin_Revision	0.931	### Basting	165	Because you 've basted first , it 's much easier to rip out incorrect seams .	## Steps	205	Since you 've basted first , it 's much easier to rip out incorrect seams .	<replace><Because><1><Since><1>	True	Basting  1. If pinning alone isn't sufficient, you can pin the seam well and then baste it. 2. First, make sure you have plenty of pins along where the seam will go, and make sure that your pins are placed approximately where you'll be stitching. 3. Then, baste the seam, that is, sew along your intended seam using the biggest stitches available on your machine. 4. If your basting turns out well, simply sew over the basted stitches using the proper stitch length. If it doesn't, pick out the trouble spots and redo them.	.
Beat_a_Taller_and_Bigger_Opponent_in_a_Street_Fight.txt	Begin_Revision	0.911	## Tips	6387	But be aware biting the skin because your adversarie 's blood may be infected with HIV or other contagious viral diseases } .	## Tips	6445	However , be aware biting the skin because your adversarie 's blood may be infected with HIV or other contagious viral diseases } .	<insert><However><1>|||<replace><But><1><,><2>	True	Tips  * Always keep in mind that size really does matter. A bigger opponent can inflict much damage because of heavier, stronger blows. But having a strategy and brains is much more important. If he is bigger than you, you must be wiser than him. * Always guard your head with your forearms, a bigger guy could easily land a blow to your head because of his reach advantage. * To penetrate the inside range and intercept your fist towards the target, have the proper timing to parry (diverting your opponent's strike to a different direction) or slip his blow while shifting forward your feet (to compensate your disadvantage in reach) finding an opening simultaneously projecting the punch. This is a relatively risky maneuver but effective if only properly executed. * Never fight fair as you're already at a disadvantage because of his size. The main essence is to use your common sense, practicality, and to protect yourself. In a street fight there are no rules. If you have something in your hand(like a pen, bottle, or a rock) turn it into a defensive weapon. Throw a handful of sand in his eyes or slit his legs with a cutter. Poking the eye with hot sauce or chili powder is a clever way to temporarily incapacitate your foe and will give you the opportunity to give him combination of strikes or escape. As much as possible, do not engage in a street fight empty handed. Unlike in combat sports nothing is fair in a real fight. A weapon is a great equalizer, just imagine how David could have been badly beaten up by Goliath if they fought toe to toe, fair and square and armless. * Play dirty. Kick his groin, finger jab his eyes, throw a chopping blow to his throat, bite his ear (like Iron Mike against a bigger Holyfield). A hair grab is a very effective and practical move leaving him a lesser chance for mobility. By pulling his hair in a downward direction it will give you the opportunity to throw an uppercut or knee strike to the face. * These are the ways to break the and escape the when being grabbed. Deliver a headbutt to the face or bite the skin ( the massater which is the biting muscle is the strongest muscle in the human body.	.
Act_Around_the_Girl_You_Like.txt	Begin_Revision	0.943	## Tips	3857	Because if her friends do n't like you , then that will greatly decrease your chances with her .	## Tips	3934	But if her friends do n't like you , then that will greatly decrease your chances with her .	<replace><Because><1><But><1>	True	Tips  * Don't over do it on the flirting part. Flirt too much and she'll end up thinking you're annoying. Flirt too little and she'll end up thinking you just want to remain friends forever. * Compliment her. Tell her something that is original and true. Never overdo compliments however. Girls will grow tired of it and if it is continued for long enough, she will know for sure that you like her. Some girls may use this to their advantage and tease you, never taking you seriously. * Try not to be with her every second of the day. Have a life, be cool, be with your friends, but never make it seem like you are ignoring her. * Remember, BE KIND TO ALL. This will not only help your reputation, but allow you to make new friends that might know things about her.	.
Be_Kinder_to_Yourself.txt	Begin_Revision	0.942	## Steps	237	"""""""But all that is in the past , and as you cannot change it , there is no point in spending our precious """""""" now """""""" living out alternate endings that can never be ."""""""	## Steps	263	"""""""However , all that is in the past , and as you cannot change it , there is no point in spending our precious """""""" now """""""" living out alternate endings that can never be ."""""""	<insert><However><1>|||<replace><But><1><,><2>	True	"Steps  1. The very first thing we need to address is that failure is acceptable. In fact, failure can be very positive. It is how we learned to walk, to talk, to ride a bike, to read and to write. Imagine a life where we never tried anything for fear of failure. 2. Beating yourself up over something that didn't go your way is unproductive. Simply learn from that experience and attempt it again, this time using your new found knowledge to guide you. 3. Be aware of negative self commentary, ""I'm an idiot"", ""I'm no good at this"", ""I will never be able to that"". These phrases can be become a habit, and become self fulfilling. Be aware of your own idiosyncrasies, and stop repeating them. 4. Learn to let things go. We cannot change the past and we cannot change the future, all we can change is right here and now. If you have any skeletons in the closet, or you've done things you're not proud of. That's great. Welcome to rest of humanity. There isn't a soul out there who hasn't."	Let them go. Focus on how good you are now.
Be_Good_in_Nerf_Zombies.txt	Begin_Revision	0.839	## Tips	484	But they are good for inside bases for a quick zombie kill .	## Tips	526	However , they are good for inside bases for a quick zombie kill .	<insert><However><1>|||<replace><But><1><,><2>	True	Tips  * Mounted weapons such as a vulcan are good for defending a area. Use a team member to carry the vulcan with one belt and another to carry maybe 2 extra. They will be in charge of defending the team when they are doing activities. * Slide action and bolt action weapons are good for primary weapons. This is because they do not have to reload every shot allowing you to pick off multiple kills quick! * A good standard infantry weapon is the recon. Its custom-ability makes it adaptable to lots of different situations. * The Nerf raider is good for sabotage. Because of its slam fire you can fear the zombies with it. It is a good surprise weapon. * The stampede is a good support weapon. Use few of them though because they waste a lot of ammo with the 18 dart clip the 18 dart clips can be used by others while using the regular 6 dart clip just seems ineffective with the stampede. * Snipers are a good support for your team. Make them be well back from zombies and camouflaged if you wish. These people should be able to pick off zombies that are about to strike. Good sniper weapons are long strikes and long shots. Optionally you can modify these weapons for longer range. * Single loaded weapons like nite finders and reflexes are recommended as a secondary weapon. These are not really used as primary because of the long reload time.	.
Buy_Used_Electronics.txt	Begin_Revision	0.878	## Steps	8100	Also , there are versions of particular products that may have a known fault to them .	## Steps	8145	In addition , there are versions of particular products that may have a known fault to them .	<insert><In><1>|||<replace><Also><1><addition><2>	True	Steps  1. Research the product itself. Some products last a long time, some do not last as long.	Read online reviews, then you can ask the owner questions to get an idea of if the product may have these problems. For example, let's say a certain electronic shows several complaints about the handle coming off, or the unit overheating when it sits idle for a few minutes--you can look closely at the used electronic in person to see if these defects are present. If you hadn't done the preliminary research, you would've never known to look! Another thing to consider, what does the device come with if you buy it new? This way, you'll know if there is anything missing, and the price should be adjusted to suit.
Be_a_Good_Boss.txt	Inside_Revision	0.783	## Tips	10085	But the job of a boss is very different - and sometimes counter-intuitive .	## Tips	21186	However , the job of a boss is very different - and sometimes counter-intuitive .	<insert><However><1>|||<replace><But><1><,><2>	True	"Tips  * Have a little tolerance in your heart. Your staff works how ever many hours for you and then lives the remainder in his or her personal life, which may leave a big impact, bleeding into work hours. Your employee may be cranky or have an off, low-producing day due to any number of personal reasons. (Still, remember it is their responsibility to deal with their personal lives on their time. You must remind them of this if they continually have the problem, but if it's a rare occurrence, do allow for the human limitation.) * Understand that things beyond your staff's control are bound to come up from time to time. As long as it's not habitual, it's in your best interest to treat your people like PEOPLE, not objects or numbers or cogs in your grand wheel. Give them the freedom to handle their personal issues, even if they come up on your time - as long as it isn't continual or egregious. * If you are on a tight budget, becoming a good boss can save you a ton of money. Many studies show how a staff that feels you care for them and value them will be far less motivated by money, and far more motivated by their sense of empowerment, value to you and the company, and the feeling that they have significant responsibilities. * Have fun with your staff. Joking with them and allowing them to see you as a human being binds them to you with feelings of friendship. Letting them address you as ""My King"" or ""Captain"" may amuse them. It's okay, then, should your staff start doing something like this, to address them occasionally as ""My Prince,"" or ""Lieutenant Commander!"" etc. This is charming to them and lets them know they are not simple minions, but essential members of your crew or ""royal court."" While it's important to maintain the reality of your position as their leader, it's also important that you be accessible. (And it's quite telling as to how they feel about you - being addressed with a bow and ""My Queen,"" even privately or in a light-hearted way says this person respects and admires you, and is willing to defer to you). * The owner or manager of a small company may be able to afford only a very meager year-end bonus. Instead of giving your team a teeny bonus of less than $50 each person, consider throwing a party for them - host it at your own home if you can. Your staff will be very touched that you have (A) invited them to your home, (B) spent money to cater for them, (C) provided a warm, fun event for them to share each other's company, and yours. Remember that $50 is a tank of gas that will be forgotten in a few days, but that party will give them a memory they may carry with them all their lives. A few themed party favors cost little but create loads of fun and good feelings. * Being a good boss really is a lot like being a king or queen. You have to rely on your people for so much, it's important that they feel loyal to you, and do things the way you want them done. Telling them to remember that wherever they go, even on their own time, they stand for you and your company, and to remember who they are in that light - it's actually a good thing. It makes them feel invested in the company in a very deep way, and those who are your very best will always go far above and beyond the call of duty to serve you to the best of their abilities. * Recognize that you need to learn to be a boss. Many of us are promoted to be a boss because we did a good job as employees."	Without some level of effort, you may not grow into a good boss. Instead, you may continue to be just a good employee to your new boss.
Be_a_Good_Boss.txt	Inside_Revision	0.67	Intro	20084	But it can be very difficult being a boss who is not respected , ineffective at managing staff , or even actively disliked .	Intro	21150	However , it can be very difficult being a boss who is not respected , ineffective at managing staff , or even actively disliked .	<insert><However><1>|||<replace><But><1><,><2>	True	You're the boss. Congrats.	How do you get your staff to be the best thing that ever happened to you? By being the best boss that ever happened to them. This article is intended to be helpful in a smaller, more casual setting. Although the tips could be helpful to a person in a larger, more formal executive setting, some would not be appropriate in those settings - see How to Be A Good Manager for advice in a more formal setting. But if you're someone who is pretty much the ultimate authority in his or her company or store (a small business owner or a general manager (GM) for a retail store, for example) here's how to be a good boss.
